ID paper;Year of publication;Country;Area;Wallace bioregion;Number of species;Energy;How;Where;When;Why;Geographical scale;Ecological scale;Tracking method;Ecosystem;Spatial_scale
101;2022;Spain;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;Yes;local;individuals;Biologgers;grasslands/shrublands/Savannahs;Short_scale
102;2021;Sweeden;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;individuals;Biologgers;forests;Short_scale
106;2008;Denmark;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;Yes;local;individuals;No tracking;grasslands/shrublands/Savannahs;Short_scale
107;2021;Scotland;Europe;Paleartic;1;Tidal power;No;Yes;Yes;Yes;local;individuals;Bioacustic;oceans/coasts;Short_scale
108;2016;Denmark;Europe;Paleartic;4;Offshore eolic;Yes;Yes;No;No;local;individuals;radar;oceans/coasts;Large_scale
109;2021;Belgium;Europe;Paleartic;3;Offshore eolic;No;No;No;No;regional;populations;Bioacustic;oceans/coasts;Large_scale
113;2014;Mexico;North America;Neartic;2;Eolic terrestrial;Yes;No;Yes;Yes;regional;species;radar;mountains;Large_scale
114;2018;United States;North America;Neartic;3;Eolic terrestrial;Yes;Yes;Yes;Yes;local;individuals;Biologgers;farmlands;Short_scale
115;2020;Spain;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;populations;Biologgers;other;Large_scale
118;2014;Lesotho;South Africa;Afrotropical;2;Eolic terrestrial;No;No;No;No;local;individuals;Biologgers;mountains;Short_scale
121;2013;Norway;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;individuals;Biologgers;oceans/coasts;Multi_scale
122;2020;Norway;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;Yes;Doubt;regional;individuals;Biologgers;other;Short_scale
123;2013;Great Britain;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;Yes;local;populations;Biologgers;freshwaters;Multi_scale
124;2022;Switzerland;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;regional;individuals;Biologgers;other;Short_scale
125;2010;Scotland;Europe;Paleartic;9;Offshore eolic;Yes;No;No;No;local;species;No tracking;oceans/coasts;Short_scale
126;2018;Germany;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;individuals;Biologgers;grasslands/shrublands/Savannahs;Short_scale
127;2009;The Netherlands;Europe;Paleartic;13;Eolic terrestrial;No;Yes;Yes;No;local;individuals;radar;farmlands;Multi_scale
128;2014;Italy;Europe;Paleartic;14;Eolic terrestrial;Yes;Yes;No;Yes;local;individuals;No tracking;mountains;Short_scale
129;2015;South Africa;South Africa;Afrotropical;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;individuals;Biologgers;mountains;Multi_scale
130;2022;Belgiun;Europe;Paleartic;1;Offshore eolic;Yes;Yes;Yes;Yes;regional;individuals;Bioacustic;oceans/coasts;Short_scale
132;2018;USA;North America;Neartic;1;Eolic terrestrial;No;No;No;No;local;individuals;Biologgers;farmlands;Short_scale
133;2020;New Zealand;Oceanian;Australian;1;Hydroelectric;No;Yes;Yes;Yes;local;individuals;Bioacustic;freshwaters;Multi_scale
