reviewer,ID paper,Paper title,Year of publication,Suitability,Country,Area,Wallace bioregion,Taxon,Specie/s name/s,Number of species,Energy,How,Where,Why,When,Geographical scale,Ecological scale,Tracking method,Ecosystem,time period data,Short,Medium,Large,Comments
vGBC,44,Avian vulnerability to wind farm collision through the year: Insights from lesser black-backed gulls (Larus fuscus) tracked from multiple breeding colonies,2018,Yes,NA,Europe,Paleartic,Birds,Larus fuscus,1,Eolic terrestrial,Yes,Yes,No,No,continental,individuals,Biologgers,other,2010-2015,No,No,Yes,"Also includes Energy: Eolic Off-shore,  Area: North Africa & Ecosystem: terrestrial"
MMD,46,"A Markov model for planning and permitting offshore wind energy: A case study of radio-tracked terns in the Gulf of Maine, USA",2017,Yes,Steuben Maine,North America,Neartic,Birds,"Sterna hirundo, S. paradisaea",2,Offshore eolic,Yes,Yes,No,Yes,local,individuals,Biologgers,oceans/coasts,2013,Yes,No,No,NA
Zaida,47,Dodging the blades: new insights into threedimensional space use of offshore wind farms by lesser black-backed gulls Larus fuscus,2018,Yes,United Kingdom,Europe,Paleartic,Birds,Larus fuscus,1,Offshore eolic,Yes,No,No,Yes,local,individuals,Biologgers,oceans/coasts,2014,Yes,No,No,NA
Martina,48,"Breeding home range movements of pre-fledged brolga chicks, Antigone rubicunda (Gruidae) in Victoria, Australia e Implications for wind farm planning and conservation",2019,Yes,Australia,Australia,Australian,Birds,Antigone rubicunda,1,Eolic terrestrial,Yes,No,No,No,local,individuals,Biologgers,peatlands,2010-2012,Yes,No,No,NA
AG,51,Attracted to the outside: a meso-scale response pattern of lesser black-backed gulls at an offshore wind farm revealed by GPS telemetry,2020,Yes,Belgium,Europe,Paleartic,Birds,Larus fuscus,1,Offshore eolic,No,Yes,No,No,local,populations,Biologgers,farmlands,2013-2017,Yes,No,No,NA
MMD,54,Radar monitoring of migrating pink-footed geese: behavioural responses to offshore wind farm development,2012,Yes,UK,Europe,Paleartic,Birds,Anser brachyrhynchus,1,Offshore eolic,No,Yes,No,No,local,individuals,radar,farmlands,2008-2011,No,No,Yes,NA
Jon,56,Modelling flight heights of lesser black-backed gulls and great skuas from GPS: a Bayesian approach,2016,Yes,UK,Europe,Paleartic,Birds,Black-backed gull,1,Eolic terrestrial,No,No,No,No,local,populations,Biologgers,peatlands,2010-2011,No,No,No,"Movement, partially include renewable energy (very general; GF comment)"
AG,57,"Non-territorial GPS-tagged golden eagles Aquila chrysaetos at two Scottish wind farms: Avoidance influenced by preferred habitat distribution, wind speed and blade motion status",2021,Yes,Scotland,Europe,Paleartic,Birds,Aquila chrysaetos,1,Offshore eolic,No,Yes,No,No,local,populations,Biologgers,farmlands,2007-2018,Yes,No,No,NA
Cara,58,Three-dimensional tracking of a wide-ranging marine predator: flight heights and vulnerability to offshore wind farms,2015,Yes,Scotland,Europe,Paleartic,Birds,Morus bassanus,1,Eolic terrestrial,Doubt,No,No,No,local,individuals,Biologgers,oceans/coasts,2010–2012,Yes,No,No,"Not sure if we should keep this. Tagged gannets to understand flight behavior then fed results into collision risk models to assess collision risk with wind turbines, but no measurement of alterations in movement behavior in relation to turbines. Tested alternative flight-height estimation methods and assessed their relative influence on model-derived predicted collision risk. Some avoidance assumed in collision-risk model."
AG,59,Responses of dispersing GPS-tagged Golden Eagles (Aquila chrysaetos) to multiple wind farms across Scotland,2022,Yes,United Kingdon (Scotland),Europe,Paleartic,Birds,Aquila  chrysaetos,1,Eolic terrestrial,Yes,Yes,No,No,local,populations,Biologgers,grasslands/shrublands/Savannahs,2007-2019,Yes,No,No,NA
jp,60,Bird collisions at wind turbines in a mountainous area related to bird movement intensities measured by radar,2015,Yes,Switzerland,Europe,Paleartic,Birds,Regulus ignicapilla; Regulus regulus; Regulus sp.; Anas platyrhynchos; Turdus viscivorus; Apus apus; Turdus pilaris; Turdus philomelos; Erithacus rubecula; Cyanistes caeruleus; Locustella naevia,11,Eolic terrestrial,Yes,Yes,No,No,local,individuals,Radar,mountains,2015,Yes,Yes,Yes,This study combines radar bird movement and carcass next to wind farms to establish a correction fator
LFG,61,Automated detection and tracking of marine mammals: A novel sonar tool for monitoring effects of marine industry,2019,Yes,Scotland/UK,Europe,Paleartic,Marine mammal,Halichoerus grypus,1,Tidal power,No,No,No,No,local,individuals,No tracking,oceans/coasts,NA,Yes,No,No,"Usan sónar para detectar presencia cerca de las turbinas, no me queda claro si eso entra en algun tipo de ""tracking method"", porque en verdá el paper va de un algoritmo pa detectar presencia, no hacen seguimiento de los individuos."
JOR,63,Investigating avoidance and attraction responses in lesser black-backed gulls Larus fuscus to offshore wind farms,2022,Yes,United Kingdom,Europe,Paleartic,Birds,Larus fuscus graellsii,2,Offshore eolic,Yes,Yes,Yes,No,local,individuals,Biologgers,oceans/coasts,2014-2019,Yes,No,No,Revised from the abstract. I have been unable to get the full paper so far
Cara,64,Modelling the spatial concentrations of bird migration to assess conflicts with wind turbines,2013,Yes,Switzerland,Europe,Paleartic,Birds,Migratory Passerines,NA,Eolic terrestrial,Doubt,No,No,No,local,communities,Other,other,2007-2011,No,No,Yes,"Also not sure about this one. Here a simulation model is presented to assess collision risk for migrating passerines. Some avoidance arbitraily applied (90%). It is unclear, but I believe that birds are represented as generic passerines, not belonging to any one species."
Martina,70,The impact of an Archimedes screw hydropower turbine on fish migration in a lowland river,2018,Yes,England,Europe,Paleartic,Fish,Squalius cephalus/Leuciscus leuciscus/Anguilla anguilla/Perca fluviatilis/Esox Lucius/Rutilus rutilus,6,Hydroelectric,Yes,Yes,No,No,regional,communities,Biologgers,freshwaters,2013-2015,Yes,Yes,Yes,Quantification of avoidance behaviour. PIT tags AND acoustic telemetry AND sonar
