reviewer,ID paper,Paper title,Year of publication,Suitability,Country,Area,Wallace bioregion,Taxon,Specie/s name/s,Number of species,Energy,How,Where,Why,When,Geographical scale,Ecological scale,Tracking method,Ecosystem,time period data,Short,Medium,Large,Comments
jp,127,Collision risk of birds with modern large wind turbines,2009,Yes,The Netherlands,Europe,Paleartic,Birds,Larus ridibundus; Regulus regulus; Haematopus ostralegus; Alauda arvensis; Phasianus colchicus; Larus canus; Turdus iliacus; Columba palumbus; Anas platyrhynchos,10-13,Eolic terrestrial,No,Yes,No,Yes,local,individuals,Radar,farmlands,2004,Yes,Yes,Yes,NA
JMR-G,128,Raptor displacement due to the construction of a wind farm: preliminary results after the first 2 years since the construction,2014,Yes,Italy,Europe,Paleartic,Birds,Pernis apivorus/ Accipiter nisus/ Buteo buteo/ Falco tinnunculus/ Falco subbuteo/ Falco eleonorae/ Falco peregrinus/ Falco biarmicus/ Circaetus gallicus/ Circus aeruginosus/ Pandion haliaetus/ Milvus milvus/ Milvus migrans,14,Eolic terrestrial,Yes,Yes,Yes,No,local,individuals,No tracking,mountains,207-2009,Yes,No,No,NA
et2,129,Using spatial analyses of bearded vulture movements in southern Africa to inform wind turbine placement,2015,Yes,South Africa,South Africa,Afrotropical,Birds,Gypaetus barbatus,1,Eolic terrestrial,Yes,Yes,Yes,Yes,local,individuals,Biologgers,mountains,2007-2013,Yes,Yes,No,NA
app,130,Effects of pile driving sound on local movement of free-ranging Atlantic cod in the Belgian North Sea,2022,Yes,Belgiun,Europe,Paleartic,Fish,Gadus morhua,1,Offshore eolic,Yes,Yes,Yes,Yes,regional,individuals,Bioacustic,oceans/coasts,2016,Yes,No,No,"I have included no in the medium but they can detect if an individual leaves the study area with their set up which by definition is dispersal. However,  they don´t analyze or present results on that. Only presence/absence and movement behaviour."
LFG,132,The utility of point count surveys to predict wildlife interactions with wind energy facilities: An example focused on golden eagles,2018,Yes,USA,North America,Neartic,Birds,Aquila chrysaetos,1,Eolic terrestrial,No,No,No,No,local,individuals,Biologgers,farmlands,2012-2013,Yes,No,No,"Aquí miran como se mueven las aguilas q tienen marcadas, pero simulan parques eolicos y como afectarian a las aguilas en diferentes escenarios, todo proyectado e inferido"
JOR,133,Evaluating the impact of hydropower on downstream migrating anguillid eels: Catchment-wide and fine-scale approaches to identify cost-effective solutions,2020,Yes,New Zealand,Oceanian,Australian,Fish,Anguilla australis,1,Hydroelectric,No,Yes,Yes,Yes,local,individuals,Bioacustic,freshwaters,2016,No,Yes,Yes,They show how a high proportion of downstream migrating eels entered the WPS forebay (half of which were unable to continue their seaward journey) and those that passed over WPS spillway experienced long delays
Zaida,138,Black kites of different age and sex show similar avoidance responses to wind turbines during migration,2021,Yes,Spain,Europe,Paleartic,Birds,Milvus migrans,1,Eolic terrestrial,Yes,Yes,Yes,No,local,individuals,Biologgers,grasslands/shrublands/Savannahs,2012-2013,Yes,No,No,NA
vGBC,141,Eco-hydro-acoustic modeling and its use as an EIA tool,2020,Yes,UK,Europe,Paleartic,Fish,Gadhus moruha,1,Offshore eolic,Yes,No,No,No,local,individuals,Bioacustic,oceans/coasts,??? No sense,Yes,No,No,"Article based on models predicted based on individual based models, not from empiric data coming from species in the study area."
MT,142,Fish habitat selection in a large hydropeaking river: Strong individual and temporal variations revealed by telemetry,2017,Yes,France,Europe,Paleartic,Fish,NA,8,Hydroelectric,No,Yes,No,No,local,individuals,Bioacustic,freshwaters,2009,Yes,No,No,Specific species not mentioned.
MT,145,"Comparing pre- versus postoperational movement of nocturnal migrants around a wind energy facility in northeast British Columbia, Canada",2017,Yes,Canada,North America,Neartic,Birds,NA,NA,Eolic terrestrial,Yes,No,No,No,local,individuals,Radar,forests,2008-2012,No,No,Yes,Radar data so specific species unknown and also number unknown.
jp,147,"Collision risk of bats with small wind turbines: Worst-case scenarios near roosts, commuting and hunting structures",2021,Yes,Germany,Europe,Paleartic,Flying mammals,"Pipistrellus pipistrellus; Myotis mystacinus; P. pygmaeus,  P. nathusii; M. myotis;  M. nattereri;  Eptesicus serotinus; Nyctalus noctula; N. leisler",9,Eolic terrestrial,Yes,No,Yes,No,local,communities,Other,farmlands,2018,Yes,No,No,NA
jmpg,148,Out of sight of wind turbines-Reindeer response to wind farms in operation,2018,Yes,Sweden,Europe,Paleartic,Terrestrial mammal,Rangifer tarandus,1,Eolic terrestrial,Yes,Yes,No,Doubt,local,individuals,Biologgers,forests,3 years,Yes,No,No,NA
JMR-G,149,"First in situ passive acoustic monitoring for marine mammals during operation of a tidal turbine in Ramsey Sound, Wales",2018,Yes,UK,Europe,Paleartic,Marine mammal,Tursiops  truncatus/ Grampus griseus/ Delphinus delphis/ Lagenorhynchus acutus/ Lagenorhynchus acutus,5,Tidal power,Yes,Yes,Yes,No,local,individuals,Bioacustic,oceans/coasts,2015-2016,Yes,No,No,NA
Jon,150,Field testing an acoustic lighthouse: Combined acoustic and visual cues provide a multimodal solution that reduces avian collision risk with tall human-made structures,2021,Yes,USA,North America,Neartic,Birds,Not mentioned,NA,Eolic terrestrial,No,No,No,No,regional,species,Other,mountains,2019,No,No,Yes,The paper evaluates the effectiveness of dissuassive measures installed on turbines by using video recordings. Actually moving around turbines (GF comment)
JGC,151,Influence of Behavior on Bird Mortality in Wind Energy Developments,2009,Yes,USA,North America,Neartic,Birds,NA,36,Eolic terrestrial,Doubt,Yes,No,Doubt,local,communities,Other,mountains,1998-2000,Yes,No,No,"In this article, authors collected bird behavior data through ""variable distance circular point observations"" (observational data). The calculated an utilization rate (birds/session) and they classified flight behaviors (fly-through, gliding, soaring, etc.). Results show that Utilization rates (birds/session) were highly seasonal: whereas eolic power output peaked over summer, bird activity peaked over winter (WHEN TO MOVE?). Moreover, number of flights through turbine rows and flights within 50 m of turbines peaked during winter, when wind turbine operations were lowest (WHERE). In addition, the number of passess at < 50 m from turbines decreased with increasing proportion of turbines that operated during the observation session (WHERE). Lastly, for some species, operational status of the nearest turbine roughly corresponded with time spent flying to travel, forage, or interact with other birds while within the turbine rotor zone (HOW?). Tracking methodlogy: I indicated ""Other"" because in some cases they tracked individuals (time spent in each flight behaviour)"
Cara,152,Tests of two types of bypass for downstream migration of eels at a small hydroelectric power plant,2005,Yes,France,Europe,Paleartic,Fish,Anguilla anguilla,1,Hydroelectric,Yes,Yes,No,No,local,individuals,Biologgers,freshwaters,1999-2001,No,No,Yes,Compared the passage of eels through a hydroelectric power plant using two alternative bypasses. Movements were assessed by comparing the number of downstream migrants and the movement behavior in front of the bypass.
MT,157,Behavioral patterns of bats at a wind turbine confirm seasonality of fatality risk,2021,Yes,USA,North America,Neartic,Flying mammals,Lasiurus cinereus/Lasiurus borealis/Lasionycteris noctivagans,3,Eolic terrestrial,Yes,Yes,No,No,local,individuals,Other,grasslands/shrublands/Savannahs,2016-2017,Yes,No,Yes,Migratory bats alter their movement around the turbines.
Jon,160,Predicting the impacts of anthropogenic disturbances on marine populations,2017,Yes,North Sea,Europe,Paleartic,Marine mammal,North Sea harbor porpoise,1,Offshore eolic,Yes,Yes,Yes,No,regional,populations,Other,oceans/coasts,None,Yes,Yes,No,It uses animal movement simulations
jp,162,Effectiveness of pulse flows in a regulated river for inducing upstream movement of an imperiled stock of Chinook salmon,2013,Yes,Canada,North America,Neartic,Fish,Oncorhynchus tshawytscha,1,Hydroelectric,Yes,Yes,Yes,Yes,regional,individuals,Biologgers,freshwaters,2007-2009,Yes,No,Yes,"I placed BIOLOGGERS for the tracking method, but they used VHF tracking which may not be considered a biologger"
JMR-G,163,The importance of behaviour in predicting the impact of a novel small-scale hydropower device on the survival of downstream moving fish,2014,Yes,UK,Europe,Paleartic,Fish,Oncorhynchus mykiss/ Anguilla anguilla,2,Hydroelectric,No,No,No,No,global,individuals,Other,freshwaters,2008,No,No,No,Method: videotracking
app,169,Behavior of red-tailed hawks in a wind turbine development,2005,Yes,USA,North America,Neartic,Birds,Buteo jamaicensis,1,Eolic terrestrial,Yes,Yes,Doubt,Yes,local,individuals,Other,farmlands,June 1999- june2000,Yes,No,No,behavioural observations only.
JMR-G,173,Increased Flight Altitudes among Migrating Golden Eagles Suggest Turbine Avoidance at a Rocky Mountain Wind Installation,2014,Yes,Canada,North America,Neartic,Birds,Aquila chrysaetos,1,Eolic terrestrial,Yes,Yes,Yes,Yes,local,individuals,Other,mountains,2009-2011,No,No,Yes,"Method: flight path reconstruction from observation, annotating bird position and angle with respect to the observer"
Assandri,179,Increasing evidence that bats actively forage at wind turbines,2017,Yes,USA,North America,Neartic,Flying mammals,Lasiurus borealis/Lasiurus cinereus/Lasionycteris noctivagans/Perimyotis subflavus/Nycticeius humeralis/Tadarida brasiliensis,6,Eolic terrestrial,No,No,Doubt,No,local,communities,Bioacustic,farmlands,2010-2016,Yes,No,No,"The paper shows that all the species forage at the rotor sweapt of wind turbines, but again I can't see the direct effect of RE on movement. It speculate that this is due to the fact that  light-colored turbines attract aggregations of insects (why doubtful)."
Cara,181,Coastal onshore wind turbines lead to habitat loss for bats in Northern Germany,2022,Yes,Germany,Europe,Paleartic,Flying mammals,Nyctalus noctula,1,Eolic terrestrial,Yes,Yes,No,No,local,individuals,Biologgers,farmlands,2020,Yes,No,No,"Tagged bats to assess movement behavior around windturbines. Though migratory movements were of interest, it seems that only local foraging movements (to and from roost) were actually recorded (so a ""Yes"" only for Short movements)."
Jon,182,"Silver eel mortality during downstream migration in the River Meuse, from a population perspective",2007,Yes,Netherlands,Europe,Paleartic,Fish,Silver eel,1,Hydroelectric,Yes,No,No,No,local,populations,Other,freshwaters,2002-2006,No,No,Yes,telemetry and mark-recapture experiments were carried out
JOR,185,A possible strong impact of tidal power plant on silver eel's migration,2022,Yes,France,Europe,Paleartic,Fish,Ariosoma mellissii,1,Tidal power,No,Yes,No,Yes,local,individuals,Bioacustic,freshwaters,2019,No,Yes,Yes,This paper shows a strong impact of tidal power plant on the silver eel migration.
MMD,186,Resolving the trade-off between silver eel escapement and hydropower generation with simple decision rules for turbine shutdown,2020,Yes,some,Europe,Paleartic,Fish,Anguilla anguilla,1,Hydroelectric,Yes,Yes,No,Yes,continental,species,Biologgers,freshwaters,2017-2018,No,No,Yes,NA
Jon,187,Modelling the habitat selection of the bearded vulture to predict areas of potential con fl ict with wind energy development in the Swiss Alps,2021,Yes,Switzerland,Europe,Paleartic,Birds,Bearded vulture,92,Eolic terrestrial,No,Yes,Yes,No,regional,populations,Biologgers,mountains,2004-2014,Yes,No,No,Includes adults and immature individuals
AG,188,Factors Influencing Movements of Two Migratory Fishes within the Tailrace of a Large Neotropical Dam and their Implications for Hydropower Impacts,2017,Yes,Brazil,South America,Neotropical,Fish,Prochilodus argenteus / Pimelodus maculatus,2,Hydroelectric,No,Yes,No,No,local,species,Bioacustic,freshwaters,2011-2012,Yes,No,No,NA
JGC,189,Bird flight characteristics near wind turbines in Minnesota,1998,Yes,USA,North America,Neartic,Birds,NA,NA,Eolic terrestrial,No,Yes,No,No,local,communities,No tracking,farmlands,1994-1995,Yes,No,No,"The authors carried out bird surveys to monitor number of birds, number of species and bird flight characteristics (height and distance from turbine). Based on the number of birds and species recorded, the authors state that some individuals avoided wind farm infraestructures (more species and more birds in areas without turbines): ""In 1995, fewer birds and fewer species
were seen during activity surveys on Unit 2 (turbines present) than on either Unit 1 or Unit 3 (no turbines). While there were habitat differences among units, our data suggests that birds avoid flying in areas with wind turbines"" (WHERE). On the other hand, based on flight characteristics, the authors assessed the risk of collision of each species."
LFG,192,Behavior of bats at wind turbines,2014,Yes,USA,North America,Neartic,Flying mammals,NA,NA,Eolic terrestrial,Yes,Yes,No,No,local,individuals,No tracking,farmlands,2012,Yes,No,No,"No hay info de especies, solo hablan de murcielagos en general"
JOR,193,Behavioral responses of bats to operating wind turbines,2008,Yes,United States,North America,Neartic,Flying mammals,Bats sp.,NA,Eolic terrestrial,No,Yes,Yes,Yes,local,individuals,Other,grasslands/shrublands/Savannahs,2004,Yes,No,No,It shows that suggest that bats may be attracted to patches of insects and that collisions may be nonrandom interactions between bats and moving turbine blades. So it evidence how wind farms influence their movements.
Assandri,195,Hydrokinetic Turbine Effects on Fish Swimming Behaviour,2013,Yes,Mozambique,South Africa,Afrotropical,Fish,NA,NA,Tidal power,Yes,Yes,No,No,local,communities,Other,oceans/coasts,2012,Yes,No,No,Fish movements were recorded by video
Jon,200,Effects of avoidance behaviour on downstream fish passage through areas of accelerating flow when light and dark,2014,Yes,USA,North America,Neartic,Fish,Chinook salmon,1,Hydroelectric,Yes,Doubt,Yes,Yes,local,individuals,Biologgers,freshwaters,2009,No,No,Yes,NA
AG,202,"Passability of Potamodromous Species through a Fish Lift at a Large Hydropower Plant (Touvedo, Portugal)",2020,Yes,Portugal,Europe,Paleartic,Fish,Luciobarbus bocagei / Pseudochondrostoma duriense / Salmo trutta fario,3,Hydroelectric,Yes,Yes,No,No,regional,species,Other,freshwaters,2013-2014,No,No,Yes,Monitored using video cameras
Martina,203,Success of a low-sloping rack for improving downstream passage of silver eels at a hydroelectric plant,2013,Yes,Sweden,Europe,Paleartic,Fish,Anguilla anguilla,1,Hydroelectric,Yes,No,No,Yes,regional,individuals,Biologgers,freshwaters,2008,Yes,Yes,Yes,"Mortality, n. of visits and time spent at racks during migration."
Martina,204,Distance to hedgerows drives local repulsion and attraction of wind turbines on bats: Implications for spatial siting,2022,Yes,France,Europe,Paleartic,Flying mammals,Pipistrellus pipistrellus/Pipistrellus kuhlii/Pipistrellus nathusii/Short-range echolocators/Long-range echolocators,NA,Eolic terrestrial,Yes,Yes,No,No,local,individuals,Bioacustic,farmlands,2015,Yes,No,No,Not all species can be identified from acoustic signals.
MArinaGA,206,Trying to choose the less bad route: Individual migratory behaviour of Atlantic salmon smolts (Salmo salar L.) approaching a bifurcation between a hydropower station and a navigation canal,2021,Yes,Belgium,Europe,Paleartic,Fish,Salmo salar,1,Hydroelectric,Yes,Yes,Yes,Doubt,local,individuals,Bioacustic,freshwaters,2014-2016,No,No,Yes,"Not knowing much about swimming of fishes on rivers, the papers seem quite complex in terms of effects and results. It is a detailed description of salmons' movement when reaching a specific bifurcation during downstream migration. One option contains two hydropower stations, which in any case seems negative.
Spatial scale: large. The paper study a decision in the route of migration. The study is based on a local movement since it is about choosing one route or another at certain point of the migration but all is in the framework of migration, and they distinguish between continuing or stopping the migration. So, I am not sure about what spatial scale I should choose.
How? The paper indicates there is an extra cost of energy expenditure due to human infrastructures such as hydropower stations. It is not what the paper analyses, but it does indicate it based on bibliography.
Where? Fishes have to decide between to alternative routes of migration, one containing a hydropower stations and the other being an artificial navigation canal. 
Why? The paper indicates several explanations about why both options resulted in negative effects for the animals leading them to frequently stop migration, mainly changes on hydrodynamic characteristics due to anthropogenic causes that disoriented the salmons.
When? The salmons develop several attempts of crossing before deciding, so they can cross the first time or even the eighth time, deciding when to cross apparently based on the information they collect on each attempt or changes on hydrodynamic characteristics over time."
JGC,207,Effects of hydroelectric turbine noise on the behaviour of Leporinus taeniatus (Characiformes: Anostomidae) in captivity,2019,Yes,Brazil,South America,Neotropical,Fish,Leporinus taeniatus,1,Hydroelectric,Yes,Yes,No,No,local,populations,Other,other,2015,Yes,No,No,"In this experimental study, authors investigated the noise impact of hydroelectric turbines on the behaviour of Leporinus taeniatus (individuals were filmed and variables were obtained for each specimen). Results showed that the fish swam significantly faster (HOW), moving to the bottom (WHERE) and swimming in depolarised shoals (HOW) during noise exposure in both groups. Temporal analysis showed that during noise exposure fish swam faster (HOW), were less stationary and used the bottom of the tanks more throughout sampling period (WHERE). These data provide evidence that fish behaviour can be affected by the aversive stimulus of the noise of a hydroelectric turbine in operation."
LFG,208,"Patterns of Activity and Fatality of Migratory Bats at a Wind Energy Facility in Alberta, Canada",2011,Yes,Canada,North America,Neartic,Flying mammals,Lasionycteris noctivagans/Lasiurus cinereus,2,Eolic terrestrial,No,No,No,No,local,individuals,Bioacustic,farmlands,"2006, 2007",No,No,No,"Describe condiciones ambientales y cuantos mueren, pero no miran como impacta las renovables en el movimiento, si no que describen mortalidades"
JMR-G,212,Activity of tree bats at anthropogenic tall structures: implications for mortality of bats at wind turbines,2014,Yes,Canada,North America,Neartic,Flying mammals,Lasiurus cinereus/ Lasiurus borealis/ Lasionycteris noctivagans,3,Eolic terrestrial,Yes,Yes,Yes,Yes,local,individuals,Bioacustic,other,2008-2009,Yes,No,Yes,"Ecosystem: ""The area is a forest-agricultural matrix of small woodlots, wetlands, cultivated cropland and cattle pasture."""
MT,215,Activity of forest specialist bats decreases towards wind turbines at forest sites,2022,Yes,Germany,Europe,Paleartic,Flying mammals,Pipistrellus pipistrellus/Eptesicus/Vespertilio/Nyctalus/Barbastella barbastellus/Myotis/Plecotus,NA,Eolic terrestrial,Yes,No,No,Doubt,regional,individuals,Bioacustic,forests,2006-2017,Yes,No,No,"Response variable was acitivity rather than movement. Calls were grouped by species and genera, so number of species unknown."
MMD,216,Broad-Scale Responses of Harbor Porpoises to Pile-Driving and Vessel Activities During Offshore Windfarm Construction,2021,Yes,Scotland,Europe,Paleartic,Marine mammal,Phocoena phocoena,1,Offshore eolic,Yes,Yes,No,No,local,individuals,Bioacustic,oceans/coasts,2017-2019,Yes,No,No,NA
JOR_Luca,218,Migratory passage structures at hydropower plants as potential physiological and behavioural selective agents,2019,Yes,Norway,Europe,Paleartic,Fish,Salmo salar,1,Hydroelectric,No,No,Yes,Yes,local,individuals,Marks,freshwaters,2010,Yes,No,Yes,They show how a few metres of deviation on the part of individuals can substantially delay passage at the intake of a hydropower plant. This delay is also associated with high mortality. This suggests the existence of potentially strong selection processes in hydropower plants.
jmpg,225,Origins and migratory patterns of bats killed by wind turbines in southern Alberta: evidence from stable isotopes,2014,Yes,USA,North Africa,Neartic,Flying mammals,Lasiurus cinereus / Lasionycteris noctivagans,2,Eolic terrestrial,Doubt,Doubt,No,No,regional,populations,Isotopes,forests,3 months,No,Yes,Yes,No evaluan específicamente como afecta la eólica al movimiento pero si la procedencia de los bichos que mueren
MT,226,Balancing future renewable energy infrastructure siting and associated habitat loss for migrating whooping cranes,2022,Yes,USA,North America,Neartic,Birds,Grus americana,1,Eolic terrestrial,No,Yes,No,No,local,individuals,Biologgers,farmlands,2010-2016,No,No,Yes,NA
LFG,227,Assessing space use by pre-breeding white-tailed eagles in the context of wind-energy development in Finland,2018,Yes,Finland,Europe,Paleartic,Birds,Haliaeetus albicilla,1,Eolic terrestrial,No,No,No,No,regional,populations,Biologgers,other,"2009-2011, 2013",No,Yes,No,"Tengo duda de si entra o no. No me deja poner duda en el ""HOW"". Mezclan los resultados de las wind farms existentes con las proyectadas/aprobadas. Lo que miran en realidad es el uso de las celdas de 5x5km que han hecho (n de posiciones por celda), y cuanto usan las q tienen eolicos y las que no.  En ecosistemas, mapean y caracterizan toda finlandia, asi que como solo tengo una opcion para poner lo dejo en blanco."
Martina,231,Impacting habitat connectivity of the endangered Florida panther for the transition to utility-scale solar energy,2022,Yes,Florida,North America,Neartic,Terrestrial mammal,Puma concolor coryi,1,Solar and termosolar,No,Yes,No,No,regional,individuals,Biologgers,other,1981-2020,Yes,Yes,No,Effect on habitat suitability and broad-scale connectivity between suitable patches
et2,232,Observations of Greater Sage-Grouse at a solar energy facility in Wyoming,2022,Yes,United States,North America,Neartic,Birds,Centrocercus urophasianus,1,Solar and termosolar,Yes,Yes,Yes,Yes,local,individuals,Other,grasslands/shrublands/Savannahs,2019-2021,Yes,No,No,NA
et2,236,North Atlantic right whale occurrence near wind energy areas along the mid-Atlantic US coast: implications for management,2015,Yes,North Carolina and Georgia,North America,Neartic,NA,Eubalaena glacialis,1,Offshore eolic,Yes,Yes,No,Yes,local,individuals,Bioacustic,oceans/coasts,2012-2013,Yes,Yes,Yes,NA
LFG,241,"Wintering Sandhill Crane exposure to wind energy development in the central and southern Great Plains, USA",2016,Yes,USA,North America,Neartic,Birds,Grus canadensis,1,Eolic terrestrial,No,No,Yes,No,local,individuals,Biologgers,grasslands/shrublands/Savannahs,2009-2013,Yes,No,No,"Es todo texas, definen un montonde tipos de ecosistemas diferentes."
Assandri,244,Using radar technology to assess visual monitoring accuracy of Cape Vulture movements,2020,Yes,South Africa,South Africa,Afrotropical,Birds,Gyps coprotheres,1,Eolic terrestrial,No,No,No,No,local,individuals,Radar,farmlands,2014-2015,Yes,No,No,"This is a comparison of two methods (radar/visual observation) to assess the potential conflict with wind turbines (trajectories/flight height). The plant is not existing, so I doubt this can be included"
et2,248,Near-term ecological forecasting for dynamic aeroconservation of migratory birds,2021,Yes,United States,North America,Neartic,Birds,NA,NA,Eolic terrestrial,Yes,Yes,Yes,Yes,regional,individuals,Radar,other,1995-2018,No,No,Yes,Focused on migration
jp,255,The catchment area of wind farms for European bats: A plea for international regulations,2012,Yes,Germany,Europe,Paleartic,Flying mammals,Pipistrellus nathusii; Pipistrellus pipistrellus; Nyctalus noctula; Nyctalus leisleri,4,Eolic terrestrial,No,Yes,No,Yes,continental,individuals,Isotopes,other,2008-2009,Yes,Yes,Yes,NA
Jon,257,Strategies for Mitigating the Impact of Hydropower Plants on the Stocks of Diadromous Species in the Daugava River,2016,Yes,Russia,Europe,Paleartic,Fish,Atlantic salmon,1,Hydroelectric,Doubt,Doubt,Yes,Yes,regional,individuals,Biologgers,freshwaters,"2013,2015-2015",No,No,Yes,NA
jp,258,Using movement to inform conservation corridor design for Mojave desert tortoise,2020,Yes,USA,North America,Neartic,Reptiles,Gopherus agassizii,1,Solar and termosolar,Yes,Yes,Yes,NA,regional,populations,Biologgers,other,2016-2018,Yes,Yes,Yes,NA
app,260,Assessing the consequences of habitat fragmentation for two migratory salmonid fishes,2014,Yes,Norway,Europe,Paleartic,Fish,Salmo trutta ; Thymallus thymallus,2,Hydroelectric,Yes,Yes,No,No,regional,individuals,Other,freshwaters,2008 & 2009,No,Yes,Yes,"They use telemetry and genetic markers. They look at the expected effects of already constructed dams to proyect what would happen when they build further hydropower developments. However, those dams have not been built at the time of the study."
JMR-G,262,Need for speed: Preference for fast-flowing water by the endangered semi-aquatic Pyrenean desman (Galemys pyrenaicus) in two contrasting streams,2018,Yes,Spain,Europe,Paleartic,Terrestrial mammal,Galemys pyrenaicus,1,Hydroelectric,Yes,Yes,Yes,Yes,local,individuals,Biologgers,freshwaters,2016,Yes,No,No,NA
Martina,263,Hydropeaking causes spatial shifts in a reproducing rheophilic fish,2022,Yes,Czech Republic,Europe,Paleartic,Fish,Leuciscus aspius,1,Hydroelectric,No,No,No,Yes,local,populations,Biologgers,freshwaters,2017-2019,Yes,Yes,No,Detection probability during spawning
Cara,264,Safeguarding migratory fish via strategic planning of future small hydropower in Brazil,2021,Yes,Brazil,South America,Neotropical,Fish,Migratory fish,191,Hydroelectric,No,Yes,No,No,regional,communities,No tracking,freshwaters,2018 & ~2050,No,No,Yes,"No real tagging effort but used a connectivity metric which provides an estimate of the probability of a fish being able to disperse between two random points in a given river network. Not sure if this fits, but have filled in the selections here just in case."
Cara,265,The sum of multiple human stressors and weak management as a threat for migratory fish,2021,Yes,Brazil,South America,Neotropical,Fish,Prochilodus hartii,1,Hydroelectric,Yes,Yes,No,Yes,regional,individuals,Other,freshwaters,2015-2017,Yes,No,Yes,This paper is pretty cool in that they look into combined effects with alien species! Caught and released fish (some relocated) up and downstream of a hydroelectric dam to assess migratory dynamics.
MMD,267,"Exorbitant mortality of hatchery-reared Atlantic salmon smolts Salmo salar L., in the Meuse river system in the Netherlands",2013,Yes,The Netherlands,Europe,Paleartic,Fish,Salmo salar L.,1,Hydroelectric,Yes,Yes,No,Yes,local,individuals,Other,freshwaters,2010-2011,No,No,Yes,NA
AG,268,Evaluating risk effects of industrial features on woodland caribou habitat selection in west central Alberta using agent-based modelling,2012,Yes,Canada,North America,Neartic,Terrestrial mammal,Rangifer tarandus,1,Other,Yes,Yes,No,No,local,populations,Biologgers,forests,2004-2005,Yes,No,No,"Energy: industrial feature (roads, seismic lines, pipelines, well sites, forest cutblocks and burns)"
Zaida,270,Fish navigation of large dams emerges from their modulation of flow field experience,2014,Yes,United States,North America,Neartic,Fish,Oncorhynchus spp.,1,Hydroelectric,Yes,Yes,No,No,regional,individuals,No tracking,freshwaters,modelling,Yes,Yes,No,"They don't track animals, they  model animal movement and perception (not sure if this fits the inclusion criteria)"
app,271,Impacts of a weir and power station on downstream migrating Atlantic salmon smolts in a German river,2020,Yes,Germany,Europe,Paleartic,Fish,Salmo salar,1,Hydroelectric,Yes,Doubt,Doubt,Yes,local,individuals,Other,freshwaters,March May 2016,Yes,Yes,Yes,"Radiotag. They look at migration through dams, however they look at it at one dam. So I wasn´t completely sure on how to fill the short, medium, large."
MT,273,Upstream and downstream responses of fish assemblages to an eastern Amazonian hydroelectric dam,2015,Yes,Brazil,South America,Neotropical,Fish,NA,81,Hydroelectric,No,Yes,No,No,local,individuals,No tracking,freshwaters,2009-2010,Yes,Yes,Yes,"Movement not directly measured, just changes in community composition. E.g. loss of migratory species. Fish communities were sampled via catches."
Cara,274,Fate of translocated American eel (Anguilla rostrata) in the lower Ottawa River and passage behavior at a multichannel barrier,2021,Yes,Canada,North America,Neartic,Fish,Anguilla rostrata,1,Hydroelectric,Yes,Yes,No,No,local,individuals,Biologgers,freshwaters,2015,Yes,No,Yes,Translocated juvenile eels and observed effects on migratory behavior and crossing of barriers associated with hydroelectric dams.
Assandri,275,"The effect of cascaded huge dams on the downstream movement of Coreius guichenoti (Sauvage & Dabry de Thiersant, 1874) in the upper Yangtze River",2017,Yes,China,East Asia,Sino-Japanese,Fish,Coreius guichenoti,1,Hydroelectric,No,Yes,No,No,regional,populations,No tracking,freshwaters,2012-2014,No,Yes,No,"The movement is measured indirectly, comparing the number of eggs, larvae, and young fishes upstream and downstream of two dams."
AG,279,Modelling past migrations to determine efficient management rules favouring silver eel escapement from a large regulated Floodplain Lake,2022,Yes,France,Europe,Paleartic,Fish,Anguilla anguilla,1,Hydroelectric,Yes,No,No,No,local,populations,Bioacustic,freshwaters,2015-2017/ 2019-2020,No,No,Yes,NA
MMD,280,Hydropower Plants as Dispersal Barriers in Freshwater Species Distribution Models: Using Restrictions through Asymmetrical Dispersal Predictors,2023,Yes,Brazil,South America,Neartic,Fish,many,29,Hydroelectric,NA,Yes,No,No,local,species,No tracking,freshwaters,na,No,Yes,No,modelling dispersal - SDMs
JMR-G,284,"Life history, latitudinal patterns, and status of the shortnose sturgeon, Acipenser brevirostrum",1997,Yes,Canada,North America,Neartic,Fish,Acipenser brevirostrum,1,Hydroelectric,Yes,Yes,Yes,Yes,regional,populations,Biologgers,freshwaters,NA,No,Yes,Yes,"The manuscript is a review of the knowledge about the species. Throughout the manuscript, it is not always clear whether the authors are using references already cited regarding animal tracking (radiotelemetry) or not. In any case, among the references cited there are papers where authors used radiotelemetry, so I did fill the column ""Tracking method"" based on that. Moreover, the paper does not report a clear time window encompassed by the review"
